company,total_score,signal_count,reasons,rank,priority
Chubbies,45,7,hiring,1,🟡 Warm
Caraway,45,7,hiring,2,🟡 Warm
True Classic,45,7,hiring,3,🟡 Warm
Vuori,45,7,hiring,4,🟡 Warm
Beardbrand,35,7,expansion,5,❄️ Cold
Manscaped,35,7,expansion,6,❄️ Cold
Magic Spoon,35,7,expansion,7,❄️ Cold
Jones Road Beauty,35,7,leadership,8,❄️ Cold
Feastables,35,7,expansion,9,❄️ Cold
Kosas,25,7,General,10,❄️ Cold
Graza,25,7,General,11,❄️ Cold
Brooklinen,25,7,General,12,❄️ Cold
Blueland,25,7,General,13,❄️ Cold
Native Deodorant,25,7,General,14,❄️ Cold
Olipop,25,7,General,15,❄️ Cold
Liquid Death,25,7,General,16,❄️ Cold
Momofuku Goods,25,7,General,17,❄️ Cold
Outdoor Voices,25,7,General,18,❄️ Cold
Our Place,25,7,General,19,❄️ Cold
Parade Underwear,25,7,General,20,❄️ Cold
Poppi,25,7,General,21,❄️ Cold
Rothy's,25,7,General,22,❄️ Cold
Ridge Wallet,25,7,General,23,❄️ Cold
Solo Stove,25,7,General,24,❄️ Cold
Tushy,25,7,General,25,❄️ Cold
